id,token,frequency
0,b'\x00',0
1,b'\x01',0
2,b'\x02',0
3,b'\x03',0
4,b'\x04',0
5,b'\x05',0
6,b'\x06',0
7,b'\x07',0
8,b'\x08',0
9,b'\t',226
10,b'\n',228334
11,b'\x0b',0
12,b'\x0c',0
13,b'\r',0
14,b'\x0e',0
15,b'\x0f',0
16,b'\x10',0
17,b'\x11',0
18,b'\x12',0
19,b'\x13',0
20,b'\x14',0
21,b'\x15',0
22,b'\x16',0
23,b'\x17',0
24,b'\x18',0
25,b'\x19',0
26,b'\x1a',0
27,b'\x1b',0
28,b'\x1c',0
29,b'\x1d',0
30,b'\x1e',0
31,b'\x1f',0
32,b' ',277854
33,b'!',2907
34,"b'""'",51992
35,b'#',471
36,b'$',331
37,b'%',13945
38,b'&',5168
39,"b""'""",11178
40,b'(',5923
41,b')',92543
42,b'*',475
43,b'+',1125
44,"b','",584433
45,b'-',10872
46,b'.',309745
47,b'/',2035
48,b'0',213573
49,b'1',92032
50,b'2',64661
51,b'3',48723
52,b'4',52585
53,b'5',59252
54,b'6',58388
55,b'7',60143
56,b'8',81199
57,b'9',175179
58,b':',31305
59,b';',18840
60,b'<',417
61,b'=',4488
62,b'>',321
63,b'?',1465
64,b'@',86
65,b'A',7971
66,b'B',1279
67,b'C',4504
68,b'D',1986
69,b'E',1542
70,b'F',1581
71,b'G',812
72,b'H',485
73,b'I',2207
74,b'J',393
75,b'K',707
76,b'L',2142
77,b'M',1708
78,b'N',1276
79,b'O',1772
80,b'P',2565
81,b'Q',316
82,b'R',1937
83,b'S',3771
84,b'T',1790
85,b'U',1108
86,b'V',1426
87,b'W',846
88,b'X',724
89,b'Y',313
90,b'Z',320
91,b'[',341
92,b'\\',59
93,b']',2300
94,b'^',40
95,b'_',308
96,b'`',50
97,b'a',35368
98,b'b',2338
99,b'c',10870
100,b'd',90770
101,b'e',109565
102,b'f',4651
103,b'g',31315
104,b'h',26791
105,b'i',12509
106,b'j',411
107,b'k',12592
108,b'l',47157
109,b'm',17285
110,b'n',72531
111,b'o',18045
112,b'p',8217
113,b'q',338
114,b'r',56027
115,b's',133548
116,b't',54117
117,b'u',4679
118,b'v',1150
119,b'w',5429
120,b'x',3565
121,b'y',78234
122,b'z',2867
123,b'{',316
124,b'|',25662
125,b'}',594
126,b'~',184
127,b'\x7f',0
128,b'\x80',309
129,b'\x81',315
130,b'\x82',333
131,b'\x83',313
132,b'\x84',315
133,b'\x85',312
134,b'\x86',303
135,b'\x87',455
136,b'\x88',315
137,b'\x89',313
138,b'\x8a',250
139,b'\x8b',313
140,b'\x8c',301
141,b'\x8d',643
142,b'\x8e',256
143,b'\x8f',251
144,b'\x90',295
145,b'\x91',321
146,b'\x92',321
147,b'\x93',346
148,b'\x94',321
149,b'\x95',255
150,b'\x96',182
151,b'\x97',225
152,b'\x98',307
153,b'\x99',385
154,b'\x9a',237
155,b'\x9b',321
156,b'\x9c',279
157,b'\x9d',245
158,b'\x9e',191
159,b'\x9f',321
160,b'\xa0',492
161,b'\xa1',355
162,b'\xa2',314
163,b'\xa3',264
164,b'\xa4',309
165,b'\xa5',342
166,b'\xa6',307
167,b'\xa7',317
168,b'\xa8',318
169,b'\xa9',1137
170,b'\xaa',319
171,b'\xab',330
172,b'\xac',318
173,b'\xad',352
174,b'\xae',311
175,b'\xaf',315
176,b'\xb0',304
177,b'\xb1',325
178,b'\xb2',342
179,b'\xb3',329
180,b'\xb4',317
181,b'\xb5',318
182,b'\xb6',314
183,b'\xb7',306
184,b'\xb8',312
185,b'\xb9',316
186,b'\xba',319
187,b'\xbb',318
188,b'\xbc',333
189,b'\xbd',315
190,b'\xbe',315
191,b'\xbf',319
192,b'\xc0',0
193,b'\xc1',0
194,b'\xc2',305
195,b'\xc3',293
196,b'\xc4',286
197,b'\xc5',316
198,b'\xc6',5
199,b'\xc7',22
200,b'\xc8',115
201,b'\xc9',73
202,b'\xca',100
203,b'\xcb',18
204,b'\xcc',55
205,b'\xcd',1
206,b'\xce',269
207,b'\xcf',316
208,b'\xd0',300
209,b'\xd1',304
210,b'\xd2',1
211,b'\xd3',0
212,b'\xd4',2
213,b'\xd5',16
214,b'\xd6',20
215,b'\xd7',268
216,b'\xd8',181
217,b'\xd9',228
218,b'\xda',17
219,b'\xdb',40
220,b'\xdc',7
221,b'\xdd',0
222,b'\xde',41
223,b'\xdf',0
224,b'\xe0',278
225,b'\xe1',221
226,b'\xe2',256
227,b'\xe3',209
228,b'\xe4',216
229,b'\xe5',255
230,b'\xe6',295
231,b'\xe7',279
232,b'\xe8',229
233,b'\xe9',302
234,b'\xea',18
235,b'\xeb',57
236,b'\xec',70
237,b'\xed',17
238,b'\xee',0
239,b'\xef',53
240,b'\xf0',16
241,b'\xf1',0
242,b'\xf2',0
243,b'\xf3',0
244,b'\xf4',1
245,b'\xf5',0
246,b'\xf6',0
247,b'\xf7',0
248,b'\xf8',0
249,b'\xf9',0
250,b'\xfa',0
251,b'\xfb',0
252,b'\xfc',0
253,b'\xfd',0
254,b'\xfe',0
255,b'\xff',0
256,b'ia',5715
257,b' a',165308
258,b' b',317
259,b'or',9645
260,b'nt',14007
261,b'gd',101
262,b'on',34468
263,b' C',1859
264,b' P',1110
265,b'nn',627
266,b'sy',681
267,b'ed',47277
268,b' S',1699
269,b'ta',2067
270,b'te',8656
271,b'he',1650
272,b' p',568
273,b'as',4064
274,b' 4',12919
275,b' at',41776
276,b' 2',90851
277,b' c',392
278,b'en',9887
279,b'.\n',122463
280,b'ap',483
281,b'so',403
282,b'nia',1071
283,b' is',73790
284,b' in',220020
285,b' s',316
286,b'out',383
287,b'st',14511
288,b'er',32592
289,b' Hu',321
290,b'nti',267
291,b'ng',64754
292,b' Co',647
293,b'ty',9077
294,b'.2',2755
295,b'.8',2041
296,b' o',329
297,b' th',168
298,b'ter',6232
299,b' si',320
300,b'de',4648
301,b' of',320640
302,b'la',2455
303,b'ee',2097
304,b' A',10239
305,b'ic',9085
306,b' an',31152
307,b' the',533544
308,b'iv',292
309,b'hed',1888
310,b' O',1411
311,b'ere',1022
312,b' to',177444
313,b'es',34537
314,b' Ro',297
315,b'ck',3203
316,b'hi',1062
317,b'll',5229
318,b'og',491
319,b' M',1705
320,b' ov',207
321,b'ks',2530
322,b' e',752
323,b' 5',10610
324,b'se',6831
325,b'oni',289
326,b'ing',40955
327,b' no',5598
328,b'ion',19008
329,b' and',259912
330,b'th',16747
331,b' Ce',270
332,b'ns',9356
333,b'us',8963
334,b're',9759
335,b' Orb',50
336,b'ison',549
337,b'al',23473
338,b'ea',674
339,b' al',1433
340,b' ther',290
341,b' pe',201
342,b' 1',156698
343,b' f',309
344,b'di',512
345,b'ugh',1251
346,b' po',297
347,b'ula',322
348,b'ti',1060
349,b'it',3047
350,b' was',98740
351,b' The',64428
352,b' u',309
353,b' av',89
354,b'era',506
355,b'ge',7623
356,b' m',624
357,b' borou',2
358,b'gh',2045
359,b' 9',6212
360,b'.0',2690
361,b' 0',2972
362,b'ati',322
363,b've',8130
364,b'an',21020
365,b'.4',2361
366,b' fr',147
367,b'om',2032
368,b' or',23389
369,b'ani',462
370,b' L',1337
371,b' were',29863
372,b'her',3073
373,b'ol',1447
374,b'ds',3833
375,b' un',253
376,b'der',2319
377,b' ag',279
378,b' li',284
379,b'vi',317
380,b' ma',249
381,b'le',13804
382,b' 8',6661
383,b'.6',2195
384,b' had',21243
385,b' fe',246
386,b'ale',789
387,b' house',1645
388,b'hol',339
389,b' wit',210
390,b'ami',316
391,b'li',838
392,b'ne',9129
393,b' 6',9429
394,b' ol',302
395,b' househ',9
396,b'.1',3025
397,b'ly',11300
398,b'pu',314
399,b'pr',108
400,b' age',4314
401,b' fro',221
402,b' F',1541
403,b' mal',299
404,b' fem',302
405,b' me',674
406,b' inc',267
407,b'ome',649
408,b' fa',284
409,b'mi',757
410,b'ales',167
411,b' inco',277
412,b'me',3161
413,b' fo',305
414,b' boroug',254
415,b'os',1922
416,b' se',289
417,b'rv',80
418,b'es\n',2251
419,b'ice',919
420,b's\n',7790
421,b'nte',375
422,b' Cou',272
423,b'nty',465
424,b' Orbi',69
425,b'son',4383
426,b' Pe',228
427,b'ania',582
428,b' es',143
429,b'tab',155
430,b'lis',386
431,b'yl',465
432,b'ul',2415
433,b' Mu',243
434,b'is',6062
435,b' sp',316
436,b'el',5608
437,b' Ab',242
438,b'do',981
439,b' Mo',290
440,b'ei',562
441,b' \xe2',297
442,b' J',2019
443,b' w',254
444,b' I',5797
445,b'nd',7565
446,b'one',1185
447,b'si',466
448,b'ri',1205
449,b' j',93
450,b'ou',714
451,b'rn',1834
452,b'ali',340
453,b' n',365
454,b'at',2300
455,b'io',1431
456,b'na',3679
457,b'list',479
458,b' H',1249
459,b' ad',337
460,b'vo',324
461,b'ca',960
462,b'ted',11309
463,b' for',69170
464,b' i',435
465,b'nde',302
466,b'pe',1506
467,b'nc',282
468,b' from',48609
469,b' t',257
470,b' N',675
471,b'et',4435
472,b'herl',155
473,b'and',5552
474,b' wa',297
475,b' fi',167
476,b'rs',15164
477,b' per',2183
478,b' be',22498
479,b'am',3570
480,b' na',286
481,b'tio',242
482,b' h',209
483,b' by',63400
484,b' Pr',221
485,b'esi',292
486,b'den',1111
487,b' Su',238
488,b'ka',1436
489,b'gr',307
490,b'aph',258
491,b' \n',32032
492,b'Bo',320
493,b'nga',315
494,b' Pu',286
495,b'ar',6644
496,b' W',1242
497,b'est',2491
498,b'ra',3016
499,b' l',411
500,b'in',9167
501,b' mem',88
502,b'be',595
503,b' Mi',279
504,b'nan',351
505,b'gk',67
506,b'ab',386
507,b'au',741
508,b' r',237
509,b'ec',462
510,b'ved',1427
511,b' we',1300
512,b'ste',321
513,b' ed',385
514,b'uc',220
515,b'atio',30
516,b' st',18
517,b'ud',456
518,b'ie',3654
519,b'ak',577
520,b' thr',283
521,b' y',348
522,b'ear',650
523,b'fo',310
