id, token, freq
0, b'\x80', 500
1, b'of', 239
2, b'mi', 239
3, b'y,', 239
4, b'd.', 239
5, b'ew', 239
6, b'ust', 239
7, b' sc', 239
8, b', s', 239
9, b'l o', 239
10, b'ure', 239
11, b'ate ', 239
12, b' a s', 239
13, b' or', 239
14, b'hat', 239
15, b'mb', 239
16, b'Th', 239
17, b'sed', 239
18, b'lly', 239
19, b' the p', 239
20, b' rec', 239
21, b' and a', 239
22, b'war', 239
23, b'vil', 239
24, b' not', 239
25, b'Sr', 239
26, b'was a', 239
27, b'ill', 239
28, b'-', 238
29, b'N', 238
30, b'\x93', 238
31, b'ia', 238
32, b'oo', 238
33, b'e h', 238
34, b'ts', 238
35, b' ti', 238
36, b'can', 238
37, b'd a', 238
38, b'in t', 238
39, b'eri', 238
40, b'he e', 238
41, b'ain', 238
42, b'ul', 238
43, b'd an', 238
44, b'gs', 238
45, b', the ', 238
46, b'pre', 238
47, b'lm', 238
48, b'of the ', 238
49, b've ', 238
50, b' sa', 238
51, b'hip', 238
52, b'ria', 238
53, b'l a', 238
54, b' su', 238
55, b'ster', 238
56, b'kin', 238
57, b'e and ', 238
58, b'er o', 238
59, b'e the ', 238
60, b'e to ', 238
61, b't of', 238
62, b'H', 237
63, b'J', 237
64, b'U', 237
65, b'Y', 237
66, b'\xe2', 237
67, b' r', 237
68, b'so', 237
69, b'ot', 237
70, b'ang', 237
71, b'cl', 237
72, b'per', 237
73, b' b', 237
74, b'du', 237
75, b'por', 237
76, b' co', 237
77, b'ater', 237
78, b' on', 237
79, b'ance', 237
80, b'd S', 237
81, b'00', 237
82, b'tim', 237
83, b'Sri', 237
84, b' and the ', 237
85, b' use', 237
86, b'.', 236
87, b'3', 236
88, b'C', 236
89, b'D', 236
90, b'M', 236
91, b' h', 236
92, b' m', 236
93, b'rr', 236
94, b'att', 236
95, b'ase', 236
96, b's,', 236
97, b'.\n\n', 236
98, b'pri', 236
99, b'o b', 236
100, b' in the ', 236
101, b'e A', 236
102, b' its', 236
103, b'),', 236
104, b'"', 235
105, b'2', 235
106, b';', 235
107, b'z', 235
108, b' n', 235
109, b'dd', 235
110, b'e s', 235
111, b'e t', 235
112, b'd in', 235
113, b'er t', 235
114, b'lan', 235
115, b'ven', 235
116, b'ver', 235
117, b'cat', 235
118, b' for', 235
119, b'Su', 235
120, b', an', 235
121, b' me', 235
122, b' tr', 235
123, b'Mo', 235
124, b' to the ', 235
125, b' s', 234
126, b' f', 234
127, b'ne', 234
128, b'hr', 234
129, b'e c', 234
130, b'st', 234
131, b'd p', 234
132, b' an ', 234
133, b'Chi', 234
134, b'Au', 234
135, b'd s', 234
136, b' cou', 234
137, b'xp', 234
138, b'/', 233
139, b'd w', 233
140, b'low', 233
141, b'6', 232
142, b'hi', 232
143, b'li', 232
144, b' ac', 232
145, b'd c', 232
146, b'pp', 232
147, b'rm', 232
148, b', a', 232
149, b'mat', 232
150, b'was', 232
151, b' cl', 232
152, b' y', 232
153, b'1 ', 232
154, b' 1', 232
155, b'ing the ', 232
156, b'nn', 231
157, b'tt', 231
158, b'aw', 231
159, b'any', 231
160, b'ce', 231
161, b' sp', 231
162, b'Can', 231
163, b'20', 231
164, b' a', 230
165, b'e o', 230
166, b'ri', 230
167, b'enc', 230
168, b'mer', 230
169, b'ws', 230
170, b'yea', 230
171, b'A', 229
172, b'  ', 229
173, b'o ', 229
174, b'rt', 229
175, b'cu', 229
176, b'stor', 229
177, b'rit', 229
178, b'ing a', 229
179, b'gra', 229
180, b"'", 228
181, b'B', 228
182, b'W', 228
183, b'cc', 228
184, b'd the ', 228
185, b'ork', 228
186, b' ro', 228
187, b'F', 227
188, b'L', 227
189, b'S', 227
190, b'se', 227
191, b'ya', 227
192, b' op', 227
193, b'orm', 227
194, b'off', 227
195, b'ph', 226
196, b'oul', 226
197, b'ss', 225
198, b're', 225
199, b'mm', 225
200, b'inc', 225
201, b'and ', 225
202, b'As', 225
203, b'ence', 225
204, b'ces', 225
205, b'sing', 225
206, b'P', 224
207, b'k', 224
208, b'q', 224
209, b'\xc3', 224
210, b'in the ', 224
211, b' in', 224
212, b'hich', 224
213, b'o s', 223
214, b' ha', 223
215, b'shi', 223
216, b'I', 222
217, b'up', 222
218, b'sp', 222
219, b'y o', 222
